date,location,administered_janssen,administered_moderna,administered_pfizer,administered_unk_manuf,series_complete_pop_pct
2022-07-06T00:00:00.000,MO,251910,3348352,5636444,2342,56.7
2022-07-06T00:00:00.000,AK,45860,454397,676646,1208,62.8
2022-07-06T00:00:00.000,ME,144258,1230744,1606984,3949,80.6
2022-07-06T00:00:00.000,CT,250781,2993163,4642984,1259,80.2
2022-07-06T00:00:00.000,HI,70918,1123993,1862878,437,79.1
2022-07-06T00:00:00.000,OH,629798,7000586,10749185,21136,58.8
2022-07-06T00:00:00.000,IH2,41567,1073476,1189403,172,42.4
2022-07-06T00:00:00.000,IA,179758,2106862,3002744,644,62.5
2022-07-06T00:00:00.000,MT,61783,691810,884442,2385,57.4
2022-07-06T00:00:00.000,IL,681467,8273751,14326796,31767,69.1
2022-07-06T00:00:00.000,OK,155036,2444341,3452277,3708,58
2022-07-06T00:00:00.000,NH,88912,986954,1592261,170,71.7
2022-07-06T00:00:00.000,MD,366853,4587069,7641371,19385,76.5
2022-07-06T00:00:00.000,SD,41975,572086,854321,141,62.7
2022-07-06T00:00:00.000,NY,1443384,14630454,24302855,26688,77.9
2022-07-06T00:00:00.000,PW,2354,37532,8939,159,84.9
2022-07-06T00:00:00.000,AZ,374449,4936614,7279206,38118,62.5
2022-07-06T00:00:00.000,BP2,14174,149544,161981,32,0
2022-07-06T00:00:00.000,MP,1385,15276,94037,9,83.8
2022-07-06T00:00:00.000,GA,343529,5991343,8970953,43582,55.5
2022-07-06T00:00:00.000,PR,152805,2801861,4427117,336,83.7
2022-07-06T00:00:00.000,VI,2333,44626,101700,0,53.9
